51,11,Jawa Timur,Kota,Batu,2023-11-02 18:18:26,2023-11-02 18:18:26
52,34,Sumatera Utara,Kabupaten,Batu Bara,2023-11-02 18:18:26,2023-11-02 18:18:26
53,30,Sulawesi Tenggara,Kota,Bau-Bau,2023-11-02 18:18:26,2023-11-02 18:18:26
54,9,Jawa Barat,Kabupaten,Bekasi,2023-11-02 18:18:26,2023-11-02 18:18:26
55,9,Jawa Barat,Kota,Bekasi,2023-11-02 18:18:26,2023-11-02 18:18:26
56,2,Bangka Belitung,Kabupaten,Belitung,2023-11-02 18:18:26,2023-11-02 18:18:26
57,2,Bangka Belitung,Kabupaten,Belitung Timur,2023-11-02 18:18:26,2023-11-02 18:18:26
58,23,Nusa Tenggara Timur (NTT),Kabupaten,Belu,2023-11-02 18:18:26,2023-11-02 18:18:26
59,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Bener Meriah,2023-11-02 18:18:26,2023-11-02 18:18:26
60,26,Riau,Kabupaten,Bengkalis,2023-11-02 18:18:26,2023-11-02 18:18:26
61,12,Kalimantan Barat,Kabupaten,Bengkayang,2023-11-02 18:18:26,2023-11-02 18:18:26
62,4,Bengkulu,Kota,Bengkulu,2023-11-02 18:18:26,2023-11-02 18:18:26
63,4,Bengkulu,Kabupaten,Bengkulu Selatan,2023-11-02 18:18:26,2023-11-02 18:18:26
64,4,Bengkulu,Kabupaten,Bengkulu Tengah,2023-11-02 18:18:26,2023-11-02 18:18:26
65,4,Bengkulu,Kabupaten,Bengkulu Utara,2023-11-02 18:18:26,2023-11-02 18:18:26
66,15,Kalimantan Timur,Kabupaten,Berau,2023-11-02 18:18:26,2023-11-02 18:18:26
67,24,Papua,Kabupaten,Biak Numfor,2023-11-02 18:18:26,2023-11-02 18:18:26
68,22,Nusa Tenggara Barat (NTB),Kabupaten,Bima,2023-11-02 18:18:26,2023-11-02 18:18:26
69,22,Nusa Tenggara Barat (NTB),Kota,Bima,2023-11-02 18:18:26,2023-11-02 18:18:26
